Asset_Number_AR,Asset_Description_AR,Category,Model_No,Model_Description,Colour_Scheme,Easting_Coord,Northing_Coord
1313880,Seat - Straight Seat - Wooden Battens - Type 3,Seat,201101-039,Seat - Straight Seat - Wooden Battens - Type 3,,319205.4523,5811668.053
1313881,Seat - Stainless Steel Seat - 3m & LED lights,Seat,201101-028,Seat - Stainless Steel Seat - 3m & LED lights,,318820.8166,5812877.487
1313882,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,,319421.0564,5812159.853
1313883,Seat - Straight Seat - Wooden Battens - Type 3,Seat,201101-039,Seat - Straight Seat - Wooden Battens - Type 3,,318976.4982,5811751.276
1313884,Seat - Stainless Steel Seat - 3m & LED lights,Seat,201101-028,Seat - Stainless Steel Seat - 3m & LED lights,Stainless Steel,319113.453,5812230.904
1313887,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,321695.1365,5812837.295
1313888,Litter Bin - Stainless Steel 80 L Recycling Bin,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Stainless Steel,320747.4967,5812718.687
1313889,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320747.7111,5812718.217
1313890,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320749.1212,5812714.637
1313891,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320761.1024,5812683.474
1313892,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320761.9352,5812681.144
1313893,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320768.3505,5812665.227
