Asset_Number_AR,Asset_Description_AR,Category,Model_No,Model_Description,Colour_Scheme,Easting_Coord,Northing_Coord,latitude,longitude
1363121,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320144.5141,5811501.279,-37.8261941169,144.956392178
1363122,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,319183.3457,5812257.809,-37.8191898135,144.94566631
1363123,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,319052.4467,5812183.156,-37.8198362976,144.944161333
1363124,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,319051.0406,5812182.389,-37.8198429275,144.944145175
1363125,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,319049.2509,5812181.622,-37.8198494813,144.944124662
1363127,"Litter Bin - Stainless Steel 80 L Litter Bin, Old Docklands Type",Litter Bin,200201-012,"Litter Bin - Stainless Steel 80 L Litter Bin, Old Docklands Type",Stainless Steel,319424.7565,5812105.055,-37.8206135225,144.948369362
1363128,"Litter Bin - Stainless Steel 80 L Litter Bin, Old Docklands Type",Litter Bin,200201-012,"Litter Bin - Stainless Steel 80 L Litter Bin, Old Docklands Type",Stainless Steel,319422.8391,5812104.416,-37.8206188988,144.948347431
1363129,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,319409.9281,5812098.408,-37.8206704605,144.948199328
1363130,Seat - Stainless Steel Straight Seat - Docklands,Seat,201101-032,Seat - Stainless Steel Straight Seat - Docklands,Stainless Steel,319379.76,5812085.625,-37.8207796317,144.947853582
1363131,Bicycle Rails - Stainless Steel Bicycle Rails – Docklands,Bicycle Rails,200101-006,Bicycle Rails - Stainless Steel Bicycle Rails – Docklands,Stainless Steel,319378.0982,5812058.653,-37.8210222499,144.947827983
1363132,Bicycle Rails - Stainless Steel Bicycle Rails – Docklands,Bicycle Rails,200101-006,Bicycle Rails - Stainless Steel Bicycle Rails – Docklands,Stainless Steel,319378.993,5812059.292,-37.8210166713,144.947838303
1363133,Bicycle Rails - Stainless Steel Bicycle Rails – Docklands,Bicycle Rails,200101-006,Bicycle Rails - Stainless Steel Bicycle Rails – Docklands,Stainless Steel,319380.3991,5812059.42,-37.8210157966,144.947854301
1363134,Bicycle Rails - Stainless Steel Bicycle Rails – Docklands,Bicycle Rails,200101-006,Bicycle Rails - Stainless Steel Bicycle Rails – Docklands,Stainless Steel,319382.0609,5812059.803,-37.8210126757,144.947873266
1363135,Seat - Stainless Steel Straight Seat - Docklands,Seat,201101-032,Seat - Stainless Steel Straight Seat - Docklands,Stainless Steel,319385.3845,5812061.465,-37.8209983632,144.94791142
1363136,Seat - Stainless Steel Straight Seat - Docklands,Seat,201101-032,Seat - Stainless Steel Straight Seat - Docklands,Stainless Steel,319419.5155,5812077.572,-37.8208600354,144.948302995
1363137,"Litter Bin - Stainless Steel 80 L Recycling Bin, Old Docklands Type",Litter Bin,200201-014,"Litter Bin - Stainless Steel 80 L Recycling Bin, Old Docklands Type",Stainless Steel,319434.7274,5812080.64,-37.8208354105,144.948476492
1363138,"Litter Bin - Stainless Steel 80 L Litter Bin, Old Docklands Type",Litter Bin,200201-012,"Litter Bin - Stainless Steel 80 L Litter Bin, Old Docklands Type",Stainless Steel,319436.2613,5812081.151,-37.8208311112,144.948494036
1363139,Litter Bin - 80L Square Metal Bin Surrounds - Silver,Litter Bin,200201-003,Litter Bin - 80L Square Metal Bin Surrounds - Silver,Dark Brunswick Green,320194.5943,5811555.949,-37.8257115511,144.956974464
1363140,Litter Bin - 80L Square Metal Bin Surrounds - Silver,Litter Bin,200201-003,Litter Bin - 80L Square Metal Bin Surrounds - Silver,Dark Brunswick Green,319910.8208,5811956.079,-37.8220514543,144.953851548
1363141,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Other,320336.5297,5814177.831,-37.8021230318,144.959236707
1363146,Bicycle Rails - Galvanised Steel Bicycle Rail,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Other,320807.2181,5813819.585,-37.8054424104,144.964491465
1363147,Bicycle Rails - Galvanised Steel Bicycle Rail,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Other,320807.1105,5813817.647,-37.8054598458,144.964489764
1363148,Horse Trough - Metal Horse Trough,Horse Trough,200701-076,Horse Trough - Metal Horse Trough,Dark Brunswick Green,319327.8299,5813175.451,-37.8109528709,144.947535832
1363150,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,318542.3201,5812743.6,-37.8146869114,144.938509414
1363152,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,320853.0748,5813674.851,-37.8067550995,144.964976274
1372700,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320642.7032,5813044.004,-37.8123961419,144.962431736
1372701,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320654.5706,5813016.546,-37.8126458007,144.962559676
1372702,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320657.45,5813005.74,-37.8127437011,144.962589693
1372703,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320662.4214,5812993.101,-37.8128585232,144.962643008
1372704,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320664.6964,5812987.539,-37.8129090697,144.96266746
1372705,Seat - Stainless Steel Seat - Fixed,Seat,201101-031,Seat - Stainless Steel Seat - Fixed,Stainless Steel,320670.6789,5812973.763,-37.8130343319,144.962731974
1372706,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320675.1474,5812960.538,-37.8131543336,144.962779434
1372707,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320681.5907,5812943.471,-37.8133093299,144.962848365
1372708,Litter Bin - Stainless Steel 80 L Recycling Bin,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Stainless Steel,320681.8013,5812942.671,-37.8133165772,144.962850558
1372709,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320724.7743,5812834.48,-37.8142995454,144.963311688
1372710,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320728.3133,5812824.537,-37.8143898018,144.963349408
1372711,Litter Bin - Stainless Steel 80 L Recycling Bin,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Stainless Steel,320728.4397,5812823.821,-37.814396276,144.963350666
1372712,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320734.0394,5812809.838,-37.8145233272,144.963410784
1372713,Litter Bin - Stainless Steel 80 L Recycling Bin,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Stainless Steel,320748.8325,5812772.926,-37.8148587162,144.96356961
1372714,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320748.9572,5812772.085,-37.814866316,144.963570818
1372715,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320749.6734,5812771.116,-37.8148751849,144.96357871
1372716,Litter Bin - Stainless Steel 80 L Recycling Bin,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Stainless Steel,320758.3101,5812747.312,-37.8150912948,144.963670881
1372717,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320758.6472,5812746.385,-37.815099711,144.963674479
1372718,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320766.4834,5812726.794,-37.8152777151,144.963758604
1372719,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320768.8006,5812720.98,-37.8153305396,144.963783475
1372720,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320777.7744,5812697.809,-37.8155410138,144.963879631
1372721,Litter Bin - Stainless Steel 80 L Recycling Bin,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Stainless Steel,320779.3332,5812693.132,-37.8155834479,144.963896172
1372722,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320779.5438,5812692.205,-37.8155918392,144.963898334
1372723,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320796.3539,5812650.201,-37.8159734896,144.964078806
1372724,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320798.2076,5812643.966,-37.8160300152,144.96409831
1372725,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320812.5741,5812608.408,-37.8163531235,144.964252633
1372726,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320812.8268,5812607.523,-37.8163611447,144.964255284
1372727,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320827.404,5812570.912,-37.8166937791,144.96441174
1372728,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320841.8125,5812534.68,-37.8170229663,144.964566376
1372729,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320843.4978,5812529.414,-37.8170707305,144.964584209
