Asset_Number_AR,Asset_Description_AR,Category,Model_No,Model_Description,Colour_Scheme,Easting_Coord,Northing_Coord,latitude,longitude
1077171,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,323024.0837,5812989.672,-37.8133503098,144.989456453
1077172,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,321010.6061,5814431.994,-37.7999660178,144.966951754
1077173,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317644.8875,5814980.014,-37.7943640341,144.928882908
1077174,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317666.7556,5814976.495,-37.794400096,144.929130243
1077175,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317685.0697,5814974.535,-37.7944214056,144.92933763
1077176,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317720.0074,5814970.546,-37.7944643079,144.929733198
1077177,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317757.8972,5814966.757,-37.7945059964,144.930162325
1077179,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317662.3276,5814913.078,-37.7949704289,144.92906403
1077180,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,316560.1015,5814249.03,-37.8007309905,144.916384794
1077181,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317238.4236,5814765.077,-37.7962188036,144.924215041
1077182,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317388.1687,5814878.735,-37.7952250014,144.925943438
1077183,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317416.1635,5814920.246,-37.7948566954,144.92627166
1077185,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320115.4587,5812619.366,-37.8161173034,144.956340052
1077186,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,319937.1133,5812941.877,-37.8131771452,144.954395256
1077188,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,319791.5696,5814441.432,-37.7996412887,144.953115785
1077189,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,319851.545,5814504.789,-37.7990824357,144.953812361
1077190,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,320719.7081,5813429.384,-37.8089399642,144.963401422
1077192,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,320680.1468,5812458.218,-37.8176799488,144.962711807
1077193,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321597.3165,5812928.585,-37.8136228357,144.973241829
1077194,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,320916.364,5812432.954,-37.8179538917,144.965387712
1077195,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,320944.9359,5812444.261,-37.8178576497,144.965714932
